source,target
hit,मारो
desperate,बेकरार
Next,आगे
crowded,भीड़
meal,भोजन
impulse,आवेग
available,उपलब्ध
resumed,फिर से शुरू
writers,लेखकों के
notre,नोट्रे
voor,वूर
conviction,दोषसिद्धि
declare,घोषित
flame,ज्योति
Russia,रूस
Helen,हेलेन
wird,कड़ाही
port,बंदरगाह
ideal,आदर्श
Jim,जिम
Princess,राजकुमारी
silence,शांति
Constitution,संविधान
vie,होड़
union,संघ
possible,मुमकिन
avoir,avoir
haste,जल्दी
route,मार्ग
dread,भय
requires,आवश्यक है
stayed,रुके
Alexander,सिकंदर
Bishop,बिशप
bell,घंटी
clever,चतुर
flew,उड़ान भरी
recovered,बरामद
decision,फेसला
aspect,पहलू
western,वेस्टर्न
Bible,बाइबिल
insisted,जोर दिया
nature,प्रकृति
afterward,इसके बाद
quelques,quelques
exist,मौजूद
threatened,धमकी
silk,रेशम
separated,अलग
ont,ont
northern,उत्तरी
descended,वंशज
supported,समर्थित
leaned,झुक
remarks,टिप्पणियों
Joe,जो
accounts,हिसाब किताब
eleven,ग्यारह
exposed,उजागर
owing,कारण
stern,कठोर
city,Faridabad
vote,वोट
hier,hier
centuries,सदियों
tied,बंधे
town,नगर
Saint,सेंट
steady,नियमित
sorts,प्रकार
People,लोग
falls,फॉल्स
creating,बनाना
rush,भीड़
references,संदर्भ
defence,रक्षा
discussion,विचार-विमर्श
werden,सरस थे
collected,जुटाया हुआ
referred,संदर्भित किया
idle,बेकार
rest,आराम
yield,प्राप्ति
answer,उत्तर
departed,स्वर्गवासी
quarters,तिमाहियों
manner,तौर तरीका
MRS,श्रीमती
cavalry,घुड़सवार सेना
characteristic,विशेषता
seeking,मांग
rear,पीछे
Were,थे
Johnson,जॉनसन
forehead,माथा
ambition,महत्वाकांक्षा
zum,झूम
profound,गहन
occur,पाए जाते हैं
version,संस्करण
crying,रोना
Bill,बिल
sank,डूब गया
observation,अवलोकन
sensible,समझदार
comment,टिप्पणी
last,पिछले
Senate,प्रबंधकारिणी समिति
scientific,वैज्ञानिक
gates,द्वार
founded,स्थापित
obtaining,प्राप्त करने के
burden,बोझ
scenes,दृश्यों
question,सवाल
district,जिला
hastily,जल्दी से
Jane,जेन
developed,विकसित
't,'टी
est,EST
bones,हड्डियों
ON,पर
sovereign,प्रभु
ocean,सागर
communication,संचार
World,विश्व
rested,विश्राम किया
light,रोशनी
web,वेब
Britain,ब्रिटेन
uniform,UNIFORM
gratitude,कृतज्ञता
Council,परिषद
vers,वीईआर
better,बेहतर
ago,पूर्व
imagined,कल्पना
humanity,मानवता
mankind,मानवता
kuin,कुइन
donate,दान करना
perceive,समझना
useless,निकम्मा
enthusiasm,उत्साह
exceedingly,निहायत
W,डब्ल्यू
selbst,selbst
fix,ठीक कर
elements,तत्वों
venture,वेंचर
Christmas,क्रिसमस
princes,प्रधानों
critical,नाजुक
riding,राइडिंग
nearest,निकटतम
abandoned,छोड़ा हुआ
errors,त्रुटियों
notwithstanding,बावजूद
jeune,ज्यूं
hers,उसकी
shake,शेक
chez,महाराज
cared,परवाह
staff,कर्मचारी
contributions,योगदान
na,ना
Southern,दक्षिण
prospect,आशा
instrument,यंत्र
shadows,छैया छैया
truth,सत्य
royalty,रॉयल्टी
territory,क्षेत्र
fr,फादर
continually,लगातार
contents,अंतर्वस्तु
leaning,झुकाव
Y,य
slightest,थोड़ी सी भी
odd,अजीब
cheerful,हंसमुख
family,परिवार
pipe,पाइप
begins,शुरू करना
somehow,किसी न किसी तरह
luck,भाग्य
hurry,जल्दी कीजिये
sole,एकमात्र
cap,टोपी
grateful,आभारी
capacity,क्षमता
else,अन्य
daughters,बेटियों
Jean,जीन
Es,तों
voir,आवाज देना
beast,जानवर
edition,संस्करण
return,वापसी
arrangement,व्यवस्था
astonished,आश्चर्यचकित
prayers,प्रार्थना
cf,सीएफ़
course,कोर्स
settle,रुकना
madame,मेडम
brow,भौंह
lofty,बुलंद
apt,उपयुक्त
province,प्रांत
counsel,सलाह
interview,साक्षात्कार
Suddenly,अचानक से
community,समुदाय
organization,संगठन
nights,रातों
Young,युवा
Ja,जा
bless,आशीर्वाद देना
Land,भूमि
seriously,गंभीरता से
Law,कानून
from,से
trois,ट्रोइस
o'er,o'er
cet,सीईटी
display,प्रदर्शन
accordingly,तदनुसार
college,कॉलेज
n,एन
actions,कार्रवाई
grande,ग्रेंड
answered,जवाब
inner,भीतरी
incident,घटना
France,फ्रांस
shone,शॉन
Donations,दान
gone,गया हुआ
Caesar,सीज़र
correct,सही बात
Martin,मार्टिन
ever,कभी
Western,वेस्टर्न
pen,कलम
examined,जांच की
faut,दोष
attacked,हमला किया
fearful,भयभीत
t,टी
supreme,सुप्रीम
pressure,दबाव
prevented,रोका
Black,काली
drank,पिया
infinite,अनंत
contains,शामिल
noted,विख्यात
touching,मार्मिक
multitude,भीड़
rid,छुटकारा
senses,होश
defend,बचाव
hang,लटकना
Art,कला
sleeping,सोया हुआ
recently,हाल ही में
mine,मेरी
retreat,रिट्रीट
changing,बदलना
winds,हवाओं
deed,कर्म
como,कोमो
Du,ड्यू
cheek,गाल
chain,जंजीर
writes,लेखन
knife,चाकू
Mississippi,मिसीसिपी
studied,अध्ययन
maintained,बनाए रखा
fears,आशंका
owns,मालिक
depends,निर्भर करता है
Dieu,मर गया
Chief,दार सर
annual,वार्षिक
warning,चेतावनी
sigh,विलाप
failure,असफलता
commerce,व्यापार
consequently,इसके फलस्वरूप
swift,तीव्र
marched,मार्च किया
confined,सिमित
Thank,धन्यवाद देना
issued,जारी किया गया
wives,पत्नियों
tide,ज्वार
widow,विधवा
then,फिर
schools,स्कूलों
repeat,दोहराना
driving,ड्राइविंग
industry,उद्योग
commonly,आमतौर पर
arrive,आने
Saturday,शनिवार
throwing,फेंकने
trop,ट्रॉप
council,परिषद
Death,मौत
intense,तीव्र
Francis,फ्रांसिस
lord,भगवान
somebody,कोई
Dear,प्रिय
eating,भोजन
intimate,सूचित करना
hated,नफरत
contempt,निंदा
unusual,असामान्य
holds,रखती है
firmly,दृढ़ता से
suspected,शक किया
beheld,देखना
payments,भुगतान
landed,उतर ली
sixty,साठ
acting,अभिनय
ate,खाया
devotion,भक्ति भाव
Moreover,अतिरिक्त
merit,योग्यता
stir,हलचल
character,चरित्र
intelligent,बुद्धिमान
Africa,अफ्रीका
tribes,जनजातियों
gross,कुल
average,औसत
runs,रन
shelter,आश्रय
Meanwhile,इस दौरान
passions,जुनून
damage,क्षति
Up,यूपी
Plain,मैदान
element,तत्त्व
concealed,गुप्त
smile,मुस्कुराओ
til,टिल
Carolina,कैरोलिना
Si,सी
coffee,कॉफ़ी
N,एन
IV,चतुर्थ
long,लंबा
diese,मर जाता है
Hence,इसलिये
creation,सृष्टि
fathers,पिता की
Presently,इस समय
exception,अपवाद
bid,बोली
angel,देवदूत
Jews,यहूदियों
Marie,मैरी
contre,कंट्रास्ट
Nevertheless,फिर भी
largely,काफी हद तक
section,अनुभाग
instructions,अनुदेश
var,वर
Herr,हेर
sailed,रवाना हुए
permission,अनुमति
eagerly,बेसब्री से
HAVE,है
restored,बहाल
Spirit,आत्मा
soul,अन्त: मन
Book,पुस्तक
fever,बुखार
announcement,घोषणा
problem,मुसीबत
parted,जुदा
fired,निकाल दिया
revealed,प्रकट
tent,तंबू
sex,लिंग
damages,हर्जाना
haar,हार
teaching,शिक्षण
signed,पर हस्ताक्षर किए
cent,प्रतिशत
debt,कर्ज
deeper,और गहरा
moreover,अतिरिक्त
ainsi,आइंसी
enabled,सक्षम
devant,शैतान
puis,उपहास करना
passes,गुजरता
offering,प्रस्ताव
sounded,लग रहा था
Cape,केप
scarce,दुर्लभ
realized,एहसास हुआ
legally,कानूनी तौर पर
girl,लड़की
provision,प्रावधान
generation,पीढ़ी
roads,सड़कें
sisters,बहनें
profession,व्यवसाय
Judge,न्यायाधीश
Long,लंबा
paragraphs,पैराग्राफ
assembled,इकट्ठे
era,युग
af,ए एफ
conducted,संचालित
Sea,समुद्र
China,चीन
about,के बारे में
staring,घूर
southern,दक्षिण
Romans,रोमनों
Oxford,ऑक्सफ़ोर्ड
Grace,कृपा
examination,इंतिहान
favourite,पसंदीदा
denn,डीन
queer,विचित्र
Rev,फिरना
interior,आंतरिक
Grand,बड़ा
hollow,खोखले
cook,रसोइया
holder,धारक
residence,रहने का स्थान
harmless,हानिरहित
für,fā fr
gifts,उपहार
BY,द्वारा
establishment,स्थापना
execution,क्रियान्वयन
swear,कसम खाता
nurse,नर्स
shed,बहाना
cabin,केबिन
th',ध ’
dancing,नृत्य
obey,आज्ञा का पालन
Army,सेना
additions,अतिरिक्त
hell,नरक
for,के लिये
commenced,शुरू किया
marks,निशान
completed,पूरा कर लिया है
beings,प्राणियों
Fort,किला
aim,लक्ष्य
tribe,जनजाति
supplied,आपूर्ति
sentiments,भावनाओं
bon,बॉन
politics,राजनीति
aloud,जोर
standard,मानक
possibility,संभावना
pains,दर्द
alarm,अलार्म
Walter,वाल्टर
empire,साम्राज्य
thee,तेरा
masters,मास्टर्स
age,उम्र
crew,कर्मी दल
zich,झिच
Scott,स्कॉट
statement,बयान
signal,संकेत
row,पंक्ति
outer,आउटर
gazing,एकटक
Etexts,ईटेक्स
hid,छुपा दिया
Vous,Vous
operation,ऑपरेशन
lamp,दीपक
yet,अभी तक
pull,खींचें
tail,पूंछ
exists,मौजूद
reflection,प्रतिबिंब
walks,सैर
purpose,उद्देश्य
quarrel,लड़ाई झगड़ा
forever,सदैव
Neither,न
Public,जनता
rarely,शायद ही कभी
torn,फटा हुआ
hour,इस घंटे
lit,ज्योतिर्मय
bar,बार
nodded,सिर हिलाया
être,Ã tre
oath,शपथ
registered,दर्ज कराई
security,सुरक्षा
body,तन
wieder,जादू करनेवाला
shaking,कंपन
naked,नंगा
endure,सहना
folks,मित्रों
wherever,जहां कहीं भी
star,सितारा
BUT,परंतु
he'd,वह था
francs,फ़्रैंक
goodness,भलाई
She's,वह है
steadily,तेजी से
elder,ज्येष्ठ
election,चुनाव
kun,कुन
persuaded,राजी
km,किमी
considering,मानते हुए
buildings,इमारतों
presents,उपहार
marble,संगमरमर
first,प्रथम
hastened,तेजी
US,अमेरिका
poets,कवियों
mood,मनोदशा
drinking,पीने
folk,लोक
subject,विषय
Say,कहो
central,केंद्रीय
succeed,सफल होने के
UNDER,के अंतर्गत
Scotland,स्कॉटलैंड
exchange,अदला बदली
beaten,पराजित
deserted,वीरान
application,आवेदन
match,मेल खाते हैं
ours,हमारा
dan,सज्जन
l,एल
TRUE,सच
strain,तनाव
owe,आभारी होना
remote,दूरस्थ
armies,सेनाओं
safely,सुरक्षित रूप से
sources,सूत्रों का कहना है
dragged,घसीटा
sins,पापों
Mexico,मेक्सिको
whereas,जहाँ तक
previously,इससे पहले
folly,मूर्खता
preceding,के पिछले
wrath,कोप
bottle,बोतल
regiment,रेजिमेंट
dwell,ध्यान केन्द्रित करना
wrought,गढ़ा
gather,इकट्ठा
distress,संकट
pronounced,उच्चारण
agreement,समझौता
nu,न्यू
card,कार्ड
mistaken,गलत
mehr,मेहर
ability,योग्यता
authorities,प्राधिकारी
definite,निश्चित
iii,तृतीय
poverty,दरिद्रता
wave,लहर
describe,वर्णन
activity,गतिविधि
evening,शाम
tiny,छोटे
coup,तख्तापलट
rang,बजी
leaders,नेताओं
shoes,जूते
resistance,प्रतिरोध
distinctly,साफ़ तौर पर
commission,आयोग
tot,मुन्ना
Whether,या
receipt,रसीद
disturbed,व्याकुल
butter,मक्खन
slain,मारे गए
roi,रॉय
hatred,घृणा
burn,जलाना
waren,चेतावनी दी
Christians,ईसाइयों
bay,खाड़ी
belongs,अंतर्गत आता है
arts,कला
exhausted,थक
hungry,भूखे पेट
Note,ध्यान दें
existed,अस्तित्व में
include,शामिल
manage,प्रबंधन
county,काउंटी
decide,तय
coach,कोच
determine,निर्धारित
gloomy,उदास
genuine,वास्तविक
examine,की जांच
settlement,समझौता
crossing,चौराहा
lightly,हलके से
tendency,प्रवृत्ति
mingled,मिश्रित
arms,हथियारों
relative,सापेक्ष
wherein,जिसमें
furniture,फर्नीचर
times,बार
encouraged,प्रोत्साहित
Alice,ऐलिस
hommes,होम्स
entity,सत्ता
thither,उधर
tower,मीनार
wondering,सोच
shared,साझा
conception,धारणा
EBook,ई-पुस्तक
inspired,प्रेरित
eighteen,अठारह
miss,कुमारी
corrupt,भ्रष्ट
overcome,पर काबू पाने
deeds,कर्मों
provinces,प्रांतों
lift,लिफ़्ट
portrait,चित्र
haben,haben
cottage,कुटिया
user,उपयोगकर्ता
historical,ऐतिहासिक
nun,मठवासिनी
peut,पेत
generations,पीढ़ियों
meme,मेम
naar,शीर्ष पर वापस
ad,विज्ञापन
operations,संचालन
seed,बीज
THAT,उस
implied,गर्भित
lively,जीवंत
fitted,फिट
Anne,ऐनी
leg,टांग
steel,इस्पात
Certainly,निश्चित रूप से
startled,चौंका
trail,निशान
depth,गहराई
bears,भालू
deliver,उद्धार
complying,अनुपालन करने
hunting,शिकार करना
Being,किया जा रहा है
porte,चित्रित करना
DE,डे
restrictions,प्रतिबंध
sig,गाया हुआ
strangers,अनजाना अनजानी
wanting,चाहने
fortunate,भाग्यशाली
passages,मार्ग
solitary,अकेला
pointing,इशारा
regarding,के बारे में
bag,बैग
contrast,इसके विपरीत
purple,बैंगनी
payment,भुगतान
beasts,जानवरों
represent,का प्रतिनिधित्व
foundation,आधार
conceived,कल्पना
cutting,काट रहा है
shock,झटका
apartment,फ्लैट
suitable,उपयुक्त
Moses,मूसा
induced,प्रेरित किया
guest,अतिथि
Hill,पहाड़ी
existing,मौजूदा
laying,बिछाने
desires,अरमान
III,तृतीय
heavily,भारी
Jerusalem,यरूशलेम
equipment,उपकरण
Mademoiselle,कुमारी
schon,शॉन
preferred,पसंदीदा
sunshine,सनशाइन
rivers,नदियों
they're,वे
obvious,ज़ाहिर
respectable,सम्मानित
admirable,प्रशंसनीय
kind,मेहरबान
denied,से इनकार किया
flow,बहे
Cf,सीएफ़
plate,प्लेट
wandering,भटक
n'y,n'y
derivative,यौगिक
service,सर्विस
saith,यह वाणी
case,मामला
feels,महसूस करता
reflected,प्रतिबिंबित
clerk,क्लर्क
newspaper,समाचार पत्र
stuff,सामग्री
track,धावन पथ
maar,मार
You'll,आप करेंगे
poems,कविताओं
plays,नाटकों
'And,'तथा
pick,चुनना
grounds,मैदान
Lincoln,लिंकन
heavens,स्वर्ग
Does,कर देता है
Could,सकता है
'What,'क्या
ed,ईडी
sus,sus
flag,झंडा
proprietary,संपदा
Day,दिन
condemned,की निंदा
fruits,फल
yard,यार्ड
assist,सहायता
son,बेटा
cause,वजह
Soon,जल्द ही
magic,जादू
advantages,फायदे
dieser,मरनेवाला
Sam,सैम
instances,उदाहरणों
solicit,मांगना
suspect,संदिग्ध
Holland,हॉलैंड
ugly,कुरूप
consequences,परिणामों
made,बनाया गया
campaign,अभियान
roll,घूमना
thereof,उसके
imposed,थोपा हुआ
testimony,गवाही
feed,चारा
Brown,भूरा
keeps,रखता है
attracted,आकर्षित
muttered,धीरे से कहना
forming,गठन
recognize,पहचानना
realize,एहसास
hart,हिरन
monde,मोंडे
Vanilla,वनीला
preparing,तैयार कर रहे हैं
rope,रस्सी
individuals,व्यक्तियों
finish,समाप्त
stirred,उभारा
Zo,Zo
churches,चर्चों
songs,गीत
world's,संसार
owed,बकाया
B,ख
pursuit,पीछा
performance,प्रदर्शन
slender,पतला
motive,प्रेरणा
Vol,वॉल्यूम
leads,सुराग
civilization,सभ्यता
regards,सादर
Spaniards,स्पेन
EVEN,यहाँ तक की
organized,का आयोजन किया
mostly,अधिकतर
depend,निर्भर
lips,होंठ
recall,याद
resist,विरोध
handle,हैंडल
masses,जनता
same,वही
lesson,पाठ
river,नदी
discourse,प्रवचन
enable,सक्षम
offers,प्रस्तावों
consists,होते हैं
detail,विस्तार
positive,सकारात्मक
unexpected,अप्रत्याशित
INCLUDING,समेत
tear,आँसू
inch,इंच
refuge,शरण
wilt,विल्ट
estimate,आकलन
state,राज्य
relieved,कार्य मुक्त
feeble,कमज़ोर
window,खिड़की
tenderness,कोमलता
absurd,बेतुका
avaient,हिमायती
disclaimers,अस्वीकरण
summoned,तलब
succession,उत्तराधिकार
BREACH,भंग
concern,चिंता
drunk,नशे में
satisfy,बदला देना
Alas,हाय
financial,वित्तीय
peace,शांति
m,म
Foundation's,फाउंडेशन का
copied,की नकल की
directions,दिशाओं
hypertext,हाइपरटेक्स्ट
blessing,आशीर्वाद
thereby,जिसके चलते
ton,टन
cleared,को मंजूरी दे दी
verses,वर्सेज
order,गण
administration,शासन प्रबंध
specific,विशिष्ट
Clemens,क्लेमेंस
sleep,नींद
agents,एजेंटों
princess,राजकुमारी
day's,दिन का
indifferent,उदासीन
Bonaparte,बोनापार्ट
compressed,दबा हुआ
create,सृजन करना
trip,यात्रा
approved,मंजूर की
test,परीक्षा
awake,जाग
beating,पिटाई
gathering,सभा
precisely,यकीनन
losing,हारी
gracious,विनीत
finest,बेहतरीन
treasure,खजाना
boy,लड़का
merchant,सोदागर
Except,के सिवाय
troubles,मुसीबतों
inferior,अवर
graceful,सुंदर
cat,बिल्ली
fun,आनंद
coeur,Coeur
we're,हम कर रहे हैं
shoot,गोली मार
software,सॉफ्टवेयर
victim,शिकार
lawyer,वकील
proofread,ठीक करना
ceremony,समारोह
wordforms,शब्द-रूप
ruined,तबाह
smell,गंध
petit,पेटिट
purchase,खरीद फरोख्त
colored,रंगीन
defect,दोष
girl's,लड़कियाँ
zur,जुर
tant,उग्रवादी
altar,वेदी
knocked,दस्तक दी
mutual,आपसी
involved,शामिल
autre,उप श्रेणियों तक पहुंच
qu'ils,qu'ils
courts,न्यायालयों
Also,भी
astonishment,विस्मय
ihre,Ihre
Samuel,शमूएल
construction,निर्माण
cotton,कपास
limbs,अंग
structure,संरचना
sale,बिक्री
eaten,खाया
Paris,पेरिस
present,वर्तमान
shortly,कुछ ही देर में
favorite,पसंदीदा
suggest,सुझाना
tones,टन
attempts,प्रयास
maiden,प्रथम
wearing,पहने
convey,संप्रेषित
We'll,कुंआ
absent,अनुपस्थित
Defects,दोष के
basis,आधार
elected,निर्वाचित
seiner,मछली पकड़नेवाला जहाज़
are,कर रहे हैं
teacher,अध्यापक
Americans,अमेरिकियों
demands,मांगों
criminal,आपराधिक
alteration,परिवर्तन
steep,खड़ी
locked,बंद
sen,सेन
emperor,सम्राट
Out,बाहर
training,प्रशिक्षण
exquisite,अति सुंदर
feast,दावत
theatre,थियेटर
resources,साधन
happens,हो जाता
claimed,दावा किया
earliest,जल्द से जल्द
prosperity,समृद्धि
fancied,अनुमान
seen,देखा
Has,है
ventured,कदम
indignation,रोष
adventure,साहसिक
depths,गहराई
employment,रोज़गार
'It,'यह
passionate,उत्साही के
College,कॉलेज
converted,परिवर्तित
jealous,ईर्ष्या
groups,समूहों
novel,उपन्यास
conceal,छिपाना
silly,मूर्खतापूर्ण
WITH,साथ में
Christianity,ईसाई धर्म
accepting,स्वीकार करना
Minister,मंत्री
gallant,वीर
grows,उगता है
intercourse,संभोग
badly,बुरी तरह
estimated,अनुमान
obedience,आज्ञाकारिता
enterprise,उद्यम
captured,पकड़े
fury,रोष
stout,स्टाउट
alles,सहयोगी
responsible,उत्तरदायी
accompany,साथ
propose,प्रस्ताव
someone,कोई व्यक्ति
depuis,उपद्रव करना
brethren,भाई
assume,मान लीजिये
hänen,hā¤nen
cure,इलाज
equipment,उपकरण
misfortune,दुर्भाग्य
Germans,जर्मनों
Nous,बुद्धि
occupation,कब्जे
limits,सीमाएं
pretended,नाटक
autumn,पतझड़
sighed,आहें भरी
missed,चुक गया
Maria,मारिया
privilege,विशेषाधिकार
rolling,रोलिंग
simplicity,सादगी
risen,जी उठा
determination,दृढ़ निश्चय
extensive,बहुत बड़ा
High,उच्च
crept,रेंगना
consisted,शामिल
Author,लेखक
Central,केंद्रीय
fastened,जकड़ा हुआ
dearest,प्यारे
scale,स्केल
Etext,ईटेक्स्ट
Whatever,जो कुछ
furnish,प्रस्तुत
respects,सम्मान
Copyright,कॉपीराइट
vanished,गायब हो गई
mein,मुझे
vanity,घमंड
Florence,फ़्लोरेंस
hostile,शत्रुतापूर्ण
balance,संतुलन
he'll,वह करेंगे
Republic,गणतंत्र
ranks,रैंक
cs,सीएस
doubtful,संदिग्ध
Act,कार्य
ministers,मंत्रियों
root,जड़
flash,Chamak
breeze,समीर
data,डेटा
responsibility,ज़िम्मेदारी
Other,अन्य
pace,गति
intervals,अंतराल
reminded,याद दिलाया
with,साथ में
zeal,उत्साह
interest,ब्याज
'Oh,Oh ओह
burnt,जला
l'on,ल
welche,वेल्कम
shouldn't,नहीं करना चाहिए
jumped,कूद
rival,प्रतिद्वंद्वी
Something,कुछ कुछ
point,बिंदु
IS,है
submit,प्रस्तुत
voix,आवाज
Surely,निश्चित रूप से
Till,जब तक
occasional,प्रासंगिक
originally,मौलिक रूप से
opportunities,अवसरों
physician,चिकित्सक
husband's,पति का
job,काम
reply,जवाब दे दो
deadly,घातक
bride,दुल्हन
pleasures,सुख
introduction,परिचय
inquiry,जांच
independence,आजादी
gesture,इशारा
unconscious,बेहोश
little,थोड़ा
daring,साहसी
darling,प्रिय
travelling,यात्रा का
story,कहानी
An',एक '
You've,आपने
road,सड़क
earnestly,ज़ोर देकर
success,सफलता
Bay,खाड़ी
tales,कहानियों
sincere,ईमानदार
Empire,साम्राज्य
publication,प्रकाशन
pleasing,मनभावन
fed,फेड
eastern,पूर्व का
puts,डालता है
student,छात्र
appearing,प्रदर्शित होने
Foundation,आधार
comparison,तुलना
boots,बूट्स
slip,पर्ची
virtues,गुण
offices,कार्यालयों
romantic,प्रेम प्रसंगयुक्त
indicated,संकेत
invitation,निमंत्रण
states,राज्यों
commander,कमांडर
betrayed,धोखा दिया
là,ला
chest,छाती
veil,आवरण
jag,कंगूरा
supplies,आपूर्ति
impressed,प्रभावित किया
autres,ऑटो रिक्शा
sight,दृष्टि
procession,जुलूस
external,बाहरी
wandered,फिरते
book,पुस्तक
defeat,हार
duke,शासक
destined,किस्मत
longing,लालसा
pressing,दबाना
federal,संघीय
sixteen,सोलह
vengeance,प्रतिशोध
reckon,मानना
swiftly,तेजी से
women,महिलाओं
covering,कवर
seats,सीटों
institutions,संस्थानों
grain,अनाज
combined,संयुक्त
club,क्लब
absorbed,को अवशोषित
majesty,महिमा
anything,कुछ भी
replied,ने उत्तर दिया
wire,वायर
part,अंश
sensation,सनसनी
accused,अभियुक्त
elsewhere,कहीं
conflict,टकराव
entertained,मनोरंजन
peaceful,शांतिपूर्ण
products,उत्पादों
dies,मर जाता है
fourteen,चौदह
vigorous,जोरदार
prize,इनाम
stupid,बेवकूफ
soit,इसलिए यह
har,हर
Pierre,पियरे
El,एल
fetch,लाना
Adam,एडम
perfection,पूर्णता
Should,चाहिए
dirty,गंदा
pendant,लटकन
humour,हास्य
acknowledged,स्वीकार किया
customs,कस्टम
helpless,मजबूर
whisper,फुसफुसाना
Mount,पर्वत
None,कोई नहीं
curse,अभिशाप
yonder,उधर
BE,होना
admired,प्रशंसा की
på,पा ¥
Grant,अनुदान
regions,क्षेत्रों
stiff,कठोर
outward,बाहर
sunk,डूब
correspondence,पत्र - व्यवहार
president,अध्यक्ष
beard,दाढ़ी
Baron,बरोन
negro,नीग्रो
assez,Assez
hither,इधर
studies,अध्ययन करते हैं
villages,गांवों
railway,रेलवे
cried,रोया
unter,unter
largest,विशालतम
dollar,डॉलर
Greeks,यूनानियों
musical,संगीत
model,नमूना
coarse,मोटा
mild,हल्का
indirectly,परोक्ष रूप से
motives,इरादों
preparations,तैयारी
washed,धोया
London,लंडन
adding,जोड़ने
grasp,मुट्ठी
composition,रचना
modest,मामूली
pays,भुगतान करता है
flashed,फ्लैश
amused,खुश
closer,करीब
alas,हाय
perpetual,लगातार
TRUE,सच
Association,संगति
harmony,सद्भाव
counted,गिना हुआ
intend,इरादा करना
fires,आग
flood,बाढ़
establish,स्थापित करना
men's,पुरुषों के लिए
angels,स्वर्गदूतों
hesitated,झिझक
alors,सचेतक
other's,अन्य
confused,उलझन में
'But,'परंतु
enjoyment,आनदं
papa,पिताजी
Use,उपयोग
jours,पत्रिकाएँ
flour,आटा
wars,युद्धों
monarch,सम्राट
messenger,दूत
tradition,परंपरा
stole,चुराई
resting,आराम
talent,प्रतिभा
advised,सलाह दी
narrative,कथा
Gr,जीआर
arguments,बहस
eut,यू टी
kann,सारी
exclusion,बहिष्करण
stroke,आघात
discipline,अनुशासन
mud,कीचड़
thunder,बिजली
Lee,ली
liberal,उदार
pound,पौंड
feature,फ़ीचर
rent,किराए
hint,संकेत
yielded,झुकेंगे
modification,परिवर्तन
swung,आ गया
recalled,को याद किया
charity,दान पुण्य
deemed,डीम्ड
Hugh,ह्यूग
observations,टिप्पणियों
strangely,अजीब
appointment,नियुक्ति
alter,बदलने
conceive,गर्भ धारण
gas,गैस
Northern,उत्तरी
committee,समिति
sheet,चादर
citizen,नागरिक
planted,लगाए
starting,शुरुआत
tables,टेबल
cents,सेंट
weapons,"हथियार, शस्त्र"
mal,मल
International,अंतरराष्ट्रीय
neglected,नजरअंदाज कर दिया
farmer,किसान
dwelt,डेरा
cloak,लबादा
arrested,गिरफ्तार
roses,गुलाब के फूल
jealousy,ईर्ष्या द्वेष
attention,ध्यान
instruction,अनुदेश
intellect,बुद्धि
ter,टेर
roots,जड़ों
confessed,कबूल कर लिया
plains,मैदानों
primitive,प्राचीन
silently,चुप चाप
Bob,बीओबी
namely,यानी
behalf,पक्ष
Austria,ऑस्ट्रिया
prayed,प्रार्थना की
clock,घड़ी
letter,पत्र
climbed,चढ़ गया
yourself,स्वयं
tour,यात्रा
reserve,रिज़र्व
judges,न्यायाधीशों
revolution,क्रांति
proposition,प्रस्ताव
Temple,मंदिर
arrange,व्यवस्था
mixture,मिश्रण
score,स्कोर
gardens,गार्डन
secretary,सचिव
engagement,सगाई
roused,जगी
Ay,एय
arm,हाथ
wrapped,लपेटा हुआ
situated,स्थित
Second,दूसरा
gloom,उदासी
area,क्षेत्र
glow,चमक
dreamed,सपना देखा
gratefully,कृतज्ञता से
aged,वृद्ध
fuer,ईंधन भरनेवाला
Lucy,लुसी
après,aprÃ¨s
damaged,क्षतिग्रस्त
revenge,बदला
vulgar,अशिष्ट
position,पद
i.e.,अर्थात।
careless,लापरवाह
Finally,आखिरकार
still,फिर भी
husband,पति
sore,पीड़ादायक
two,दो
spectacle,तमाशा
erected,निर्माण किया
comparatively,अपेक्षाकृत
tremendous,भयानक
undoubtedly,निश्चित रूप से
afforded,समर्थ बनाया
hun,हुन
agony,यंत्रणा
ridiculous,हास्यास्पद
blood,रक्त
convenient,सुविधाजनक
nom,नामांकित
neighbourhood,अड़ोस - पड़ोस
meantime,इसी बीच
specified,निर्दिष्ट
donation,दान
inform,सूचित करना
deceived,धोखा
wedding,शादी
Canada,कनाडा
seize,को जब्त
Enter,दर्ज
uit,uit
uncertain,ढुलमुल
disappointed,निराश
pious,पवित्र
leisure,फुर्सत
inn,सराय
reception,स्वागत
column,स्तंभ
Greece,यूनान
affectionate,स्नेही
railroad,रेल
wages,वेतन
moderate,उदारवादी
searched,खोजे गए
indifference,उदासीनता
neglect,उपेक्षा
king,राजा
unlike,भिन्न
blows,चल रही है
die,मरना
roar,गर्जन
bark,छाल
bin,बिन
authors,लेखकों
dig,गड्ढा करना
employ,काम
nobles,रईसों
temporary,अस्थायी
satisfactory,संतोषजनक
identify,पहचान
trained,प्रशिक्षित
assembly,सभा
wheel,पहिया
statements,बयान
platform,मंच
disgrace,अपमान
wake,जाग
Everything,सब कुछ
enemy,दुश्मन
trusted,भरोसा
sagte,सगते
economic,आर्थिक
arrangements,व्यवस्था
